epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,3149.77,0.05206,17.5416,0.01586,0.30406,0.36192,0.24594,0.08239,nan,nan,nan,0.0012801,0.0012801,0.0012801
46,3218.56,0.05233,17.3911,0.01614,0.38056,0.40552,0.30425,0.0902,nan,nan,nan,0.00126374,0.00126374,0.00126374
47,3309.46,0.05165,17.8442,0.01596,0.33093,0.34593,0.22668,0.07144,nan,nan,nan,0.00124737,0.00124737,0.00124737
48,3377.93,0.05061,17.6608,0.01571,0.3178,0.37209,0.2542,0.0749,nan,nan,nan,0.00123101,0.00123101,0.00123101
49,3449.64,0.05137,17.3016,0.01569,0.30469,0.29651,0.22321,0.0744,nan,nan,nan,0.00121465,0.00121465,0.00121465
50,3520.64,0.0527,17.2526,0.01615,0.38415,0.36192,0.30905,0.1008,nan,nan,nan,0.00119829,0.00119829,0.00119829
51,3589.94,0.05134,17.2764,0.01593,0.35132,0.35465,0.27004,0.08431,nan,nan,nan,0.00118193,0.00118193,0.00118193
52,3659.15,0.05139,17.9927,0.01611,0.35622,0.35756,0.25333,0.08529,nan,nan,nan,0.00116557,0.00116557,0.00116557
53,3728.78,0.05083,17.2411,0.0159,0.36606,0.37645,0.26306,0.07974,nan,nan,nan,0.00114921,0.00114921,0.00114921
54,3797.15,0.05129,17.2574,0.01565,0.3552,0.38517,0.28475,0.08817,nan,nan,nan,0.00113284,0.00113284,0.00113284
55,3867.13,0.05104,17.1998,0.01596,0.33337,0.35465,0.26251,0.08781,nan,nan,nan,0.00111648,0.00111648,0.00111648
56,3935.23,0.05194,17.3518,0.01595,0.33598,0.34738,0.24208,0.073,nan,nan,nan,0.00110012,0.00110012,0.00110012
57,4004.91,0.05187,17.033,0.01623,0.33968,0.36919,0.2615,0.09026,nan,nan,nan,0.00108376,0.00108376,0.00108376
58,4073.4,0.05061,16.8376,0.01622,0.2977,0.36773,0.23058,0.08065,nan,nan,nan,0.0010674,0.0010674,0.0010674
59,4142.27,0.04993,16.7196,0.01524,0.33697,0.36192,0.24779,0.08217,nan,nan,nan,0.00105104,0.00105104,0.00105104
60,4212.55,0.05019,16.9569,0.01553,0.36207,0.36793,0.27412,0.09467,nan,nan,nan,0.00103468,0.00103468,0.00103468
